match_id,date,league_code,season,group_id,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,model,cutoff,p_home,p_draw,p_away
4043042,2026-06-02,M1,2026,1,JJK Jyväskylä,Vantaan Jalkapalloseura,144858,63440,2,2,D,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4043043,2026-06-02,M1,2026,1,Rovaniemen Palloseura,Oulun Luistinseura,60973,106449,1,1,D,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4057694,2026-06-04,M2,2026,1,Pepo Lappeenranta,Lahden Reipas,61010,61562,2,1,H,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057786,2026-06-04,M2,2026,2,Idrottsföreningen Kamraterna i Åbo,Pallo-Iirot,60996,107307,2,0,H,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057784,2026-06-05,M2,2026,2,Musan Salama,Nurmijärven Jalkapalloseura,60696,60537,0,0,D,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4043044,2026-06-05,M1,2026,1,Kuopion Palloseura,KPV Juniorit,106331,60536,4,1,H,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4038089,2026-06-05,M1L,2026,1,Käpylän Pallo,FC KTP Kotka,60487,60972,1,2,A,b0_base_rate,2026-06-01,0.43333333333333335,0.25,0.31666666666666665
4038090,2026-06-05,M1L,2026,1,Football Club Haka,Järvenpään Palloseura,60561,60676,1,2,A,b0_base_rate,2026-06-01,0.43333333333333335,0.25,0.31666666666666665
4057874,2026-06-05,M2,2026,3,Jalkapalloseura Hercules,Vaasan Palloseura,61004,169909,1,5,A,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057787,2026-06-06,M2,2026,2,Hämeenlinnan Jalkapalloseura,Espoon Palloseuran Jalkapallo,35121579,62296,1,3,A,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057875,2026-06-06,M2,2026,3,Äänekosken Huima,Fotbollsföreningen JARO Jalkapalloseura,35117343,144364,7,1,H,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057876,2026-06-06,M2,2026,3,Gamlakarleby Bollklubb,FC Vaajakoski,60492,60496,0,1,A,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057697,2026-06-06,M2,2026,1,MYPA,Pallo-Pojat Juniorit,129934,48924,1,3,A,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057877,2026-06-06,M2,2026,3,Tornion Pallo-47,Jakobstads Bollklubb,60666,61766,1,1,D,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4038091,2026-06-06,M1L,2026,1,Ekenäs Idrottsförening,Mikkelin Palloilijat,60495,60494,1,0,H,b0_base_rate,2026-06-01,0.43333333333333335,0.25,0.31666666666666665
4057696,2026-06-06,M2,2026,1,Atlantis FC Edustus,HIFK Soccer,60702,49735,3,2,H,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057695,2026-06-06,M2,2026,1,Union Plaani,Helsingin Palloseura,61723,49949,0,2,A,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4043049,2026-06-06,M1,2026,1,JJK Jyväskylä,Pallokerho Keski-Uusimaa,144858,60929,1,3,A,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4057878,2026-06-06,M2,2026,3,SJK Akatemia,Idrottsföreningen Kraft,131834,60686,0,4,A,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4057785,2026-06-06,M2,2026,2,FC Honka,Esbo Bollklubb,62416,63411,4,1,H,b0_base_rate,2026-06-01,0.49537037037037035,0.14583333333333334,0.3587962962962963
4043045,2026-06-06,M1,2026,1,Tampereen Pallo-Veikot,Football Club International Turku,60704,60860,1,1,D,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4043048,2026-06-06,M1,2026,1,Oulun Luistinseura,Salon Palloilijat,106449,60690,5,0,H,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4043047,2026-06-06,M1,2026,1,Rovaniemen Palloseura,Jalkapalloseura Tampere United,60973,106945,0,1,A,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4043046,2026-06-06,M1,2026,1,FC Jazz Juniorit,Vantaan Jalkapalloseura,60521,63440,1,1,D,b0_base_rate,2026-06-01,0.5046728971962617,0.191588785046729,0.3037383177570094
4043042,2026-06-02,M1,2026,1,JJK Jyväskylä,Vantaan Jalkapalloseura,144858,63440,2,2,D,g0_logistic_dppg,2026-06-01,0.5315875478958492,0.19138450618498334,0.27702794591916746
4043043,2026-06-02,M1,2026,1,Rovaniemen Palloseura,Oulun Luistinseura,60973,106449,1,1,D,g0_logistic_dppg,2026-06-01,0.520579847535364,0.19240327784295894,0.2870168746216771
