league_code,date,week,hg,ag,lam_h,lam_a
SW-EN,2025-09-13,2025-09-08/2025-09-14,0,2,1.1070154860968178,2.065337511223379
SW-SE,2025-09-13,2025-09-08/2025-09-14,3,1,1.9661553790360196,1.252091703404794
VL,2025-09-13,2025-09-08/2025-09-14,2,1,2.117674093177726,1.0737113114289794
VL,2025-09-13,2025-09-08/2025-09-14,0,2,1.0380015044124224,2.0963608144983428
VL,2025-09-13,2025-09-08/2025-09-14,1,1,1.4983256451627331,1.6235520951764486
SW-SE,2025-09-13,2025-09-08/2025-09-14,2,3,1.2557638987693964,1.1652538961685859
NO-PN1,2025-09-13,2025-09-08/2025-09-14,2,3,1.505335634647388,1.2357289967784901
NO-PN1,2025-09-13,2025-09-08/2025-09-14,4,2,2.1639090461369546,1.2323686449036995
NO-PN1,2025-09-13,2025-09-08/2025-09-14,0,0,2.9801579669936316,1.0973434581579726
NO-PN1,2025-09-13,2025-09-08/2025-09-14,1,1,0.706665275400197,1.7579225421366345
NO-PN1,2025-09-13,2025-09-08/2025-09-14,5,2,1.4340699958450034,1.3273125813987934
SW-SE,2025-09-13,2025-09-08/2025-09-14,2,0,1.2634887576608604,1.3376566472721434
SW-EN,2025-09-13,2025-09-08/2025-09-14,3,1,2.8160107358996873,1.1608922026944544
SW-EN,2025-09-13,2025-09-08/2025-09-14,1,1,1.2623090377779569,1.0195588071590072
SW-EN,2025-09-13,2025-09-08/2025-09-14,1,0,2.249296853620318,1.255389075780923
SW-EN,2025-09-13,2025-09-08/2025-09-14,2,0,1.7139463810332152,1.5517089617882216
NO-ELI,2025-09-13,2025-09-08/2025-09-14,3,2,2.2719942607379133,1.4734769779670627
NO-ELI,2025-09-13,2025-09-08/2025-09-14,1,2,1.346374492640635,0.9607346056033184
NO-1DK,2025-09-13,2025-09-08/2025-09-14,3,2,3.232430143702754,0.4271600613165654
NO-TS,2025-09-13,2025-09-08/2025-09-14,2,1,2.0297446436948574,0.6005347586622343
NO-TS,2025-09-13,2025-09-08/2025-09-14,1,2,1.388319061648758,1.0531966161244768
NO-PN2,2025-09-13,2025-09-08/2025-09-14,2,2,0.8679229324985039,2.9709013960977857
NO-PN2,2025-09-13,2025-09-08/2025-09-14,3,3,1.6168644707793238,1.5525707664970023
NO-PN2,2025-09-13,2025-09-08/2025-09-14,4,2,2.874966794575564,1.0330754144269054
SW-AL,2025-09-13,2025-09-08/2025-09-14,0,1,0.4951972078189939,2.6344593255716275
NO-PN2,2025-09-13,2025-09-08/2025-09-14,1,1,2.390372649973605,2.3731017151721487
SW-EE,2025-09-13,2025-09-08/2025-09-14,0,1,1.1818703935223474,1.445790024405554
SW-EE,2025-09-13,2025-09-08/2025-09-14,0,1,1.6993074896425562,1.610488068237847
SW-EE,2025-09-13,2025-09-08/2025-09-14,1,1,1.6527975075669805,2.7724942832766803
SW-EE,2025-09-13,2025-09-08/2025-09-14,2,2,2.0511239117320312,0.482648064022366
SW-EE,2025-09-13,2025-09-08/2025-09-14,0,0,1.3059254863619174,1.5902331778958168
SW-EE,2025-09-13,2025-09-08/2025-09-14,6,0,2.692884165038493,0.428512608560258
NO-PN2,2025-09-13,2025-09-08/2025-09-14,3,1,2.5623368694746946,1.04484623906467
SW-AL,2025-09-13,2025-09-08/2025-09-14,1,1,1.2345637945240955,1.7014655926759565
SW-SE,2025-09-13,2025-09-08/2025-09-14,4,0,1.5060974055089844,1.246538818785894
M1,2025-09-13,2025-09-08/2025-09-14,4,2,2.5587690413336857,1.3297205716580285
NL,2025-09-13,2025-09-08/2025-09-14,5,0,5.303230596634518,0.8779809913776392
NO-OBOS,2025-09-13,2025-09-08/2025-09-14,0,1,1.9780758470440072,2.081670821629549
M1,2025-09-13,2025-09-08/2025-09-14,2,2,2.50283061727477,1.5251154725962017
M1,2025-09-13,2025-09-08/2025-09-14,4,0,1.501995829531671,1.0287617571756216
NO-OBOS,2025-09-13,2025-09-08/2025-09-14,5,2,1.262039543380778,1.327260436188991
NO-OBOS,2025-09-13,2025-09-08/2025-09-14,1,2,1.2320015682455436,0.951690405633766
SW-DA,2025-09-13,2025-09-08/2025-09-14,3,0,3.5540710645946594,0.5692396194045062
SW-DA,2025-09-13,2025-09-08/2025-09-14,2,1,1.9974895926156815,1.2843476705540602
M1,2025-09-13,2025-09-08/2025-09-14,3,0,1.9602603052017034,0.9047696373656818
SW-DA,2025-09-13,2025-09-08/2025-09-14,0,1,0.9863006655813958,2.3757006832039833
NO-OBOS,2025-09-13,2025-09-08/2025-09-14,1,1,1.7780570987178668,1.0987315614860105
NO-OBOS,2025-09-13,2025-09-08/2025-09-14,1,5,0.7795282374505724,2.1626537093589935
NO-OBOS,2025-09-13,2025-09-08/2025-09-14,2,3,2.2367380916483808,1.2475628145453332
M2,2025-09-14,2025-09-08/2025-09-14,2,2,1.3964311721014586,1.6058656412616739
M2,2025-09-14,2025-09-08/2025-09-14,9,0,4.232733423120902,1.0361846251895828
M2,2025-09-14,2025-09-08/2025-09-14,3,0,4.155728352099632,1.2626085482312466
M2,2025-09-14,2025-09-08/2025-09-14,4,0,4.729051089699723,0.879557374501176
M1L,2025-09-14,2025-09-08/2025-09-14,2,3,2.052843083707273,2.2077408097058933
SW-EE,2025-09-14,2025-09-08/2025-09-14,0,0,0.5015515403980135,2.286586993993975
SW-AL,2025-09-14,2025-09-08/2025-09-14,3,0,1.1602196671329932,1.6792960782970345
M1L,2025-09-14,2025-09-08/2025-09-14,2,1,2.1597678215392535,1.1417346217384456
NO-PN2,2025-09-14,2025-09-08/2025-09-14,0,1,1.6966920627446065,1.949305635324837
NO-PN2,2025-09-14,2025-09-08/2025-09-14,1,1,1.8255336248218206,1.693150990463314
M1,2025-09-14,2025-09-08/2025-09-14,1,3,2.8211709978793666,1.156000656043218
NO-TS,2025-09-14,2025-09-08/2025-09-14,2,0,2.8912187623075294,0.2104959250305652
NO-1DK,2025-09-14,2025-09-08/2025-09-14,4,0,2.712125027743337,0.3825304540978212
NO-1DK,2025-09-14,2025-09-08/2025-09-14,3,3,1.3268522110629044,1.8982963633925372
NO-1DK,2025-09-14,2025-09-08/2025-09-14,1,1,1.8728128543567724,1.9686168689373449
NO-1DK,2025-09-14,2025-09-08/2025-09-14,0,2,1.5806223216540451,0.7304333169233684
SW-SE,2025-09-14,2025-09-08/2025-09-14,1,2,1.1774087950767855,1.059843197105152
SW-SE,2025-09-14,2025-09-08/2025-09-14,2,1,1.2852084113810265,0.9237577010618526
NL,2025-09-14,2025-09-08/2025-09-14,0,3,2.5999088149460094,1.7875654928432338
M1L,2025-09-14,2025-09-08/2025-09-14,1,1,1.347681819177193,1.4863941096414737
